Agency_ID,Max_Lat,Min_Lat,Max_Long,Min_Long
00554,42.122257,42.122257,-122.464066,-122.464066
00569,44.1196500438,44.0084670389,-122.9253861608,-123.1894750825
00740,45.55145,45.517961,-123.04664,-123.063746
01005,37.782618,37.751802,-122.241139,-122.290524
01007,35.216465,35.052375,-106.505864,-106.746314
01008,37.842697,37.522067,-121.578656,-122.294004
01009,43.715887,43.715887,-96.496114,-96.496114
01020,NA,NA,NA,NA
01035,44.78214,44.78214,-76.9925,-76.9925
01040,37.5847,37.473197,-121.913587,-122.055426
01065,37.717995,37.626306,-121.701327,-121.959064
01101,43.621627,43.47831,-96.661009,-96.798558
01200,45.553151,45.513481,-123.07711,-123.183218
01260,45.436469,45.417017,-123.153501,-123.174786
01603,37.306118,37.226864,-89.526774,-89.568845
02006,40.90605,40.71888,-96.50934,-96.75921
02083,31.5653977,31.5279043,-110.2219988,-110.3002095
02101,44.177982,43.724477,-102.528453,-103.576936
02193,31.553948,31.552791,-110.2300732,-110.2951306
03002,36.315447,36.137716,-115.062078,-115.371285
03101,45.468969,45.447195,-98.103394,-98.503931
03142,34.8559036,34.7801163,-111.7536874,-111.8654289
03510,39.4211354737,39.2608047805,-104.7033896748,-104.8981850821
03525,39.4544921479,39.2608047805,-104.7033896748,-104.7479115591
03535,39.2320930949,39.2320930949,-104.904249893,-104.904249893
03570,39.354563,39.354563,-105.1404,-105.1404
03601,38.483939,38.482004,-90.747713,-90.779608
04600,36.358851697,36.286409074,-94.116931492,-94.222837989
04612,41.655136,41.655136,-84.1740709,-84.1740709
04813,39.299671,38.844258,-94.21264,-94.74079
05031,36.203219,35.131336,-114.572929,-115.328457
05900,39.0232920875,38.7033690834,-77.0762752892,-77.4725257795
05909,39.782876,39.428467,-105.053674,-105.190506
05936,39.790017,39.77583,-105.141163,-105.189238
